Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,month,year,day,is_quarter_end,target,Open-Close,Low-High,7_day_MA,RSI,MACD,MACD_signal,MACD_hist,Volume_change
2011-08-05,812.35,799.5,799.5,779.0,791.9,792.0,789.79,5994097,473408869605000.0,157581.0,3040193.0,0.5072,8,2011,5,0,0,7.5,-20.5,823.2642857142856,28.9317686012254,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.9088617648501247
2011-08-08,792.0,776.7,796.4,767.0,780.25,780.65,781.35,5084300,397263951305000.0,139239.0,2142216.0,0.4213,8,2011,8,0,0,-3.949999999999932,-29.399999999999977,815.1642857142858,26.84598357224002,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.15178216168340286
2011-08-09,780.65,753.0,779.0,753.0,767.5,765.3,765.19,7463019,571059326715000.0,167300.0,3586853.0,0.4806,8,2011,9,0,1,-12.299999999999955,-26.0,806.2142857142857,24.294994651312823,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.4678557520209272
2011-08-10,765.3,785.35,790.0,765.0,770.4,772.75,776.76,4056543,315096314910000.0,113131.0,2057041.0,0.5071,8,2011,10,0,0,12.600000000000023,-25.0,797.9142857142857,27.877073719547493,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.4564474510918437
2011-08-11,772.75,768.35,784.95,765.0,770.8,772.2,776.23,2489305,193227763465000.0,77957.0,948672.0,0.3811,8,2011,11,0,0,-3.8500000000000227,-19.950000000000045,788.6142857142858,27.772597326407013,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.3863481787324823
2011-08-12,772.2,783.0,783.0,758.0,758.9,760.9,767.38,3936767,302099212760000.0,112482.0,2262471.0,0.5747,8,2011,12,0,0,22.100000000000023,-25.0,779.4499999999999,25.645973777673177,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.581472338664808
2011-08-16,760.9,760.0,772.3,754.7,764.1,759.15,765.21,2580004,197424098710000.0,77229.0,1340975.0,0.5197999999999999,8,2011,16,0,0,0.8500000000000227,-17.59999999999991,771.8500000000001,25.32258389522536,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.34463888769642703
2011-08-17,759.15,760.5,774.4,751.0,753.8,755.0,759.89,3096352,235288582345000.0,78570.0,1332358.0,0.4303,8,2011,17,0,0,5.5,-23.399999999999977,766.5642857142858,24.532551878313946,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.20013457343476992
2011-08-18,755.0,757.7,760.0,737.0,737.65,741.2,747.18,3914915,292512676265000.0,90562.0,1994411.0,0.5094,8,2011,18,0,0,16.5,-23.0,760.9285714285714,22.06709448927897,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.26436367699796404
2011-08-19,741.2,731.05,739.0,721.3,731.0,732.55,729.26,4663092,340058478720000.0,102499.0,2335146.0,0.5008,8,2011,19,0,1,-1.5,-17.700000000000045,756.25,20.66519769147105,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.19110938551667145
2011-08-22,732.55,731.0,759.85,725.6,759.85,757.0,741.8,3552807,263548500285000.0,91864.0,1357416.0,0.3821,8,2011,22,0,1,-26.0,-34.25,754.0,33.521089820892634,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.23810059934481242
2011-08-23,757.0,760.35,772.0,747.5,765.6,765.25,760.12,4008613,304704525705000.0,120271.0,2337942.0,0.5832,8,2011,23,0,0,-4.899999999999977,-24.5,753.0071428571428,37.217955720192954,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.12829461324524516
2011-08-24,765.25,764.0,769.5,756.0,760.0,761.3,762.17,2968791,226273304330000.03,69105.0,1682164.0,0.5666,8,2011,24,0,0,2.7000000000000455,-13.5,753.0642857142857,36.18054033388324,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.2593969535098549
2011-08-25,761.3,761.6,769.0,750.25,751.0,753.5,757.21,4849218,367188839000000.0,86360.0,2971967.0,0.6129,8,2011,25,0,0,8.100000000000023,-18.75,752.2571428571428,34.15589907815187,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.6333982419105959
2011-08-26,753.5,751.0,756.1,712.0,722.0,719.4,735.29,4457788,327775858120000.0,114276.0,2261771.0,0.5074000000000001,8,2011,26,0,1,31.600000000000023,-44.10000000000002,747.1714285714286,27.033584809464877,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.08072023159198038
2011-08-29,719.4,731.1,759.9,728.35,754.35,755.05,747.58,4186930,313008470485000.0,101102.0,2195594.0,0.5244,8,2011,29,0,1,-23.949999999999932,-31.549999999999955,749.1499999999999,40.90694579096181,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.06076062836545837
2011-08-30,755.05,765.0,796.3,764.0,785.05,782.6,779.16,7821448,609417827475000.0,152811.0,4144465.0,0.5299,8,2011,30,0,1,-17.600000000000023,-32.299999999999955,756.3000000000001,48.980128628997164,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.8680627571991888
2011-09-02,782.6,796.7,813.7,789.45,805.2,805.45,802.88,7791545,625563795475000.0,137175.0,4784504.0,0.6141,9,2011,2,1,0,-8.75,-24.25,763.2214285714286,54.52885747732122,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.003823205114960815
